quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
115	1.0	29	29	3/4	3/4	4/4	4	1		V65	f	VI		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
116	2.0	30	30	0	0	4/4	4	1		I	f	VI		I		I							M	1	0	0, 4, 1		0	0
118	2.0	30	30	1/2	1/2	4/4	4	1		I6	f	VI		I6		I		6					M	1	0	4, 1, 0		0	4
120	1.3329999999999984	31	31	0	0	4/4	4	1		IV(9)	f	VI		IV(9)		IV			9				M	1	0	-1, 3, 0	1	-1	-1
364/3	0.6670000000000016	31	31	1/3	1/3	4/4	4	1		IV	f	VI		IV		IV							M	1	0	-1, 3, 0		-1	-1
122	0.3329999999999984	31	31	1/2	1/2	4/4	4	1		ii6(2)	f	VI		ii6(2)		ii		6	2				m	1	0	-1, 3, 4		2	-1
367/3	0.6670000000000016	31	31	7/12	7/12	4/4	4	1		ii6	f	VI		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
123	1.0	31	31	3/4	3/4	4/4	4	1		IV	f	VI		IV		IV							M	1	0	-1, 3, 0		-1	-1
124	1.6670000000000016	32	32	0	0	4/4	4	1		V	f	VI		V		V							M	1	0	1, 5, 2		1	1
377/3	0.3329999999999984	32	32	5/12	5/12	4/4	4	1		V7	f	VI		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
126	2.0	32	32	1/2	1/2	4/4	4	1		viio7/vi	f	VI		viio7/vi		vii	o	7		vi			o7	1	0	1, -2, -5, -8		1	1
128	0.3329999999999984	33	33	0	0	4/4	4	1		vi(9)	f	VI		vi(9)		vi			9				m	1	0	3, 0, 4	5	3	3
385/3	1.3340000000000032	33	33	1/12	1/12	4/4	4	1		vi	f	VI		vi		vi							m	1	0	3, 0, 4		3	3
389/3	0.3329999999999984	33	33	5/12	5/12	4/4	4	1		viio7/iii	f	VI		viio7/iii		vii	o	7		iii			o7	1	0	2, -1, -4, -7		2	2
130	1.3329999999999984	33	33	1/2	1/2	4/4	4	1		iv	f	VI		iv		iv							m	1	0	-1, -4, 0		-1	-1
394/3	0.3340000000000032	33	33	5/6	5/6	4/4	4	1		V6	f	VI		V6		V		6					M	1	0	5, 2, 1		1	5
395/3	0.3329999999999984	33	33	11/12	11/12	4/4	4	1		viio7/iii	f	VI		viio7/iii		vii	o	7		iii			o7	1	0	2, -1, -4, -7		2	2
132	0.3329999999999984	34	34	0	0	4/4	4	1		V6(9)	f	VI		V6(9)		V		6	9				M	1	0	5, 2, 1	3	1	5
